SEX,DATE OF JOINING,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,RATINGS,PAST EXP
F,2014-05-18,Analyst,21.0,44570,Finance,24.0,2.0,0
F,2014-07-28,Analyst,21.0,40955,Finance,23.0,3.0,0
F,2013-04-03,Analyst,22.0,45550,IT,22.0,3.0,0
F,2013-02-19,Analyst,22.0,48736,Marketing,20.0,4.0,0
M,2013-09-02,Analyst,22.0,40339,Marketing,19.0,5.0,0
F,2014-06-29,Senior Analyst,28.0,63478,Operations,20.0,3.0,1
F,2014-11-11,Analyst,22.0,43110,Finance,15.0,3.0,0
F,2014-03-10,Analyst,24.0,41590,Marketing,22.0,4.0,1
M,2013-08-01,Analyst,24.0,44828,Finance,15.0,5.0,1
M,2013-03-22,Analyst,21.0,45830,Web,23.0,2.0,0
M,2013-07-27,Analyst,24.0,43457,Management,30.0,4.0,1
F,2014-08-13,Analyst,21.0,44812,IT,16.0,5.0,0
M,2013-09-16,Analyst,25.0,47636,Finance,27.0,3.0,2
M,2014-06-07,Analyst,24.0,48651,Web,27.0,5.0,1
M,2013-02-03,Analyst,23.0,40411,Management,21.0,3.0,0
M,2013-06-23,Analyst,25.0,46941,Marketing,23.0,3.0,1
M,2013-10-11,Analyst,22.0,47734,Marketing,28.0,5.0,0
F,2014-07-11,Analyst,23.0,40541,Operations,15.0,5.0,1
F,2013-12-02,Analyst,25.0,43920,Web,28.0,2.0,2
M,2013-02-11,Analyst,21.0,45832,Management,28.0,2.0,0
F,2014-01-22,Analyst,23.0,48102,Marketing,17.0,2.0,0
M,2014-09-07,Analyst,21.0,48662,Management,30.0,5.0,0
M,2013-02-15,Analyst,25.0,49685,Operations,15.0,2.0,1
M,2014-12-21,Senior Analyst,25.0,57488,Operations,25.0,3.0,0
F,2013-03-13,Analyst,21.0,45410,Marketing,29.0,2.0,0
M,2013-05-07,Analyst,21.0,43030,Management,22.0,5.0,0
F,2014-11-07,Analyst,22.0,42388,Management,30.0,5.0,0
M,2014-05-22,Senior Analyst,26.0,68295,Operations,28.0,5.0,3
F,2011-08-06,Associate,29.0,73397,Web,30.0,5.0,2
F,2013-12-16,Analyst,22.0,47008,Management,27.0,2.0,0
M,2014-07-30,Analyst,23.0,49898,Marketing,19.0,5.0,1
F,2014-12-17,Analyst,23.0,45389,Management,27.0,2.0,1
M,2013-03-25,Analyst,22.0,49326,Web,29.0,3.0,0
F,2013-02-18,Analyst,24.0,49901,Web,24.0,4.0,0
M,2014-11-18,Analyst,24.0,42529,IT,23.0,2.0,2
F,2014-03-23,Analyst,25.0,44448,Finance,25.0,5.0,2
F,2011-08-26,Senior Manager,39.0,175497,Marketing,30.0,4.0,13
F,2014-07-01,Analyst,25.0,47739,IT,21.0,4.0,2
F,2014-01-31,Analyst,25.0,49046,Web,25.0,4.0,2
M,2014-03-31,Analyst,25.0,47961,Operations,20.0,3.0,2
F,2014-04-26,Associate,29.0,96378,Operations,23.0,2.0,5
M,2015-01-07,Associate,32.0,76411,IT,16.0,4.0,9
F,2013-05-22,Analyst,23.0,40264,Web,24.0,2.0,0
M,2014-02-26,Analyst,22.0,45364,Web,20.0,2.0,0
M,2013-07-05,Analyst,22.0,42013,Web,27.0,4.0,0
M,2013-07-22,Analyst,25.0,42362,Marketing,24.0,5.0,2
F,2013-11-18,Analyst,25.0,44620,Finance,26.0,5.0,2
F,2014-08-25,Analyst,23.0,43285,Operations,23.0,5.0,1
F,2014-04-10,Senior Analyst,28.0,66338,Web,24.0,3.0,5
F,2013-08-04,Analyst,25.0,46436,IT,27.0,4.0,2
F,2013-04-19,Analyst,24.0,49705,Management,28.0,3.0,0
M,2014-03-27,Analyst,21.0,40095,Management,19.0,3.0,0
F,2014-12-13,Senior Analyst,28.0,61647,Finance,28.0,4.0,3
F,2014-08-17,Analyst,21.0,42811,Marketing,22.0,3.0,0
F,2013-12-25,Analyst,25.0,47365,Finance,15.0,2.0,2
M,2013-08-20,Analyst,22.0,45721,Operations,18.0,5.0,0
M,2013-07-05,Analyst,25.0,49976,Web,25.0,2.0,1
M,2013-04-19,Analyst,21.0,42650,Marketing,21.0,2.0,0
M,2015-01-18,Analyst,25.0,44632,Management,27.0,3.0,3
M,2014-07-28,Analyst,25.0,48389,Operations,15.0,3.0,3
M,2013-10-22,Analyst,21.0,48665,Operations,18.0,2.0,0
M,2013-04-05,Associate,31.0,72886,Management,21.0,4.0,6
F,2014-06-08,Analyst,21.0,45225,IT,28.0,5.0,0
M,2013-06-16,Senior Analyst,25.0,60712,Finance,26.0,4.0,0
M,2013-10-07,Analyst,24.0,41290,Operations,17.0,3.0,1
F,2014-05-16,Analyst,21.0,44993,IT,18.0,2.0,0
F,2013-08-21,Analyst,24.0,46118,IT,22.0,4.0,1
F,2012-08-24,Senior Analyst,25.0,65212,Management,29.0,5.0,1
F,2011-12-20,Senior Manager,38.0,193621,Operations,19.0,4.0,9
F,2013-11-25,Analyst,23.0,44223,Marketing,19.0,2.0,0
F,2013-10-12,Senior Analyst,27.0,53339,Finance,26.0,2.0,1
F,2014-07-07,Analyst,24.0,43638,Web,29.0,3.0,1
M,2013-06-03,Analyst,22.0,44963,Marketing,21.0,2.0,0
F,2014-05-01,Analyst,21.0,42686,Marketing,22.0,3.0,0
F,2014-09-01,Analyst,21.0,40381,Web,22.0,2.0,0
F,2013-05-02,Analyst,21.0,48461,Finance,15.0,5.0,0
F,2013-02-15,Analyst,25.0,46584,Marketing,18.0,4.0,1
M,2014-05-30,Senior Analyst,25.0,50739,IT,25.0,3.0,0
M,2014-07-28,Associate,31.0,82083,Management,17.0,3.0,5
F,2014-12-22,Analyst,23.0,40324,Operations,27.0,2.0,1
M,2014-11-20,Analyst,23.0,44001,Management,26.0,3.0,1
F,2013-08-17,Analyst,22.0,43059,Management,30.0,3.0,0
F,2014-09-25,Analyst,24.0,41685,Finance,30.0,2.0,2
M,2012-03-11,Associate,28.0,95982,Operations,26.0,4.0,0
F,2013-06-17,Analyst,23.0,44699,Management,26.0,3.0,0
F,2013-08-07,Senior Analyst,28.0,52690,Marketing,30.0,5.0,3
F,2014-02-15,Analyst,21.0,40041,Management,18.0,4.0,0
F,2014-11-02,Senior Analyst,28.0,56314,Finance,16.0,5.0,3
M,2014-02-16,Analyst,25.0,49785,Operations,26.0,3.0,2
F,2013-11-21,Analyst,24.0,41284,Web,29.0,5.0,1
F,2014-05-19,Analyst,22.0,40562,Finance,26.0,5.0,0
M,2013-08-01,Analyst,22.0,46741,Operations,30.0,2.0,0
M,2014-02-12,Analyst,24.0,45100,Operations,28.0,2.0,1
M,2014-09-15,Analyst,22.0,41712,IT,23.0,5.0,0
F,2014-05-17,Analyst,24.0,47069,Operations,20.0,4.0,1
M,2013-04-19,Analyst,25.0,40460,Web,28.0,3.0,1
M,2013-02-26,Analyst,24.0,47068,Finance,28.0,4.0,0
F,2013-09-30,Senior Analyst,25.0,50813,Marketing,26.0,2.0,0
M,2010-04-22,Manager,33.0,129191,Operations,22.0,4.0,3
M,2014-12-19,Analyst,24.0,46749,Operations,28.0,5.0,2
F,2011-10-15,Manager,33.0,108665,Finance,15.0,2.0,6
F,2012-12-06,Associate,32.0,76964,Management,23.0,5.0,5
M,2013-12-19,Analyst,24.0,47417,Marketing,21.0,3.0,1
M,2014-04-16,Analyst,21.0,47669,IT,25.0,5.0,0
F,2014-06-16,Analyst,21.0,40318,Finance,20.0,3.0,0
M,2013-09-01,Analyst,23.0,46743,IT,17.0,2.0,0
M,2014-05-08,Analyst,25.0,40060,Management,20.0,2.0,2
F,2013-10-20,Analyst,25.0,46129,Management,20.0,3.0,2
M,2013-04-09,Senior Manager,38.0,189435,Marketing,19.0,4.0,10
F,2013-03-20,Senior Analyst,26.0,62537,Management,27.0,2.0,0
M,2013-09-17,Analyst,24.0,44145,Management,17.0,5.0,1
F,2014-10-02,Analyst,22.0,47998,Marketing,23.0,5.0,0
M,2014-01-17,Analyst,25.0,49310,Marketing,16.0,2.0,2
F,2014-03-21,Analyst,24.0,49235,Management,17.0,4.0,1
M,2013-04-26,Senior Analyst,26.0,68245,Finance,26.0,3.0,0
F,2014-10-19,Analyst,23.0,47498,Finance,25.0,5.0,1
M,2014-11-30,Analyst,25.0,40636,Finance,26.0,4.0,3
F,2013-01-03,Analyst,25.0,45233,Operations,25.0,4.0,1
F,2013-11-03,Senior Analyst,27.0,53275,Finance,16.0,4.0,4
F,2013-07-18,Analyst,24.0,43540,Web,17.0,5.0,1
M,2015-01-20,Analyst,21.0,40275,Management,30.0,5.0,0
M,2013-12-11,Analyst,21.0,44361,Web,28.0,5.0,0
M,2013-05-20,Analyst,25.0,41936,Web,16.0,2.0,1
F,2013-04-13,Analyst,21.0,45830,Finance,25.0,5.0,0
F,2013-07-23,Analyst,23.0,44521,Web,28.0,3.0,0
M,2014-08-04,Analyst,22.0,45997,Management,18.0,3.0,0
M,2013-12-07,Analyst,25.0,44218,Finance,19.0,2.0,2
F,2013-10-07,Manager,35.0,140926,Finance,28.0,2.0,12
F,2014-09-03,Analyst,21.0,48886,Operations,23.0,3.0,0
M,2014-09-11,Analyst,23.0,49081,Operations,26.0,3.0,1
F,2014-02-26,Analyst,23.0,42195,Operations,28.0,2.0,0
M,2013-02-01,Senior Analyst,25.0,50130,Marketing,22.0,3.0,0
M,2014-12-01,Senior Analyst,25.0,55472,Finance,30.0,3.0,0
M,2013-05-21,Analyst,25.0,43269,Operations,17.0,5.0,1
F,2013-09-23,Analyst,22.0,43712,Operations,17.0,2.0,0
M,2014-12-07,Analyst,25.0,42377,Marketing,24.0,5.0,3
F,2012-10-05,Senior Analyst,28.0,69316,Operations,24.0,3.0,0
F,2013-08-27,Analyst,23.0,46418,Marketing,29.0,2.0,0
M,2014-08-14,Senior Analyst,28.0,65566,Marketing,17.0,3.0,5
F,2013-10-19,Analyst,24.0,48976,Finance,25.0,2.0,1
M,2013-04-15,Analyst,23.0,43760,Marketing,24.0,4.0,0
